Card ID,Name,Card Number,Type,HP,Rarity,Artist,,Set Name,Set ID,Image,TCCGP ID,TCGP Variant,PF Variant
svp-178,Kyogre ex,178,Pokemon,230,Promo,takuyoa,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/619580_in_1000x1000.jpg,619580,Holofoil,Holofoil
svp-179,Xerneas ex,179,Pokemon,210,Promo,PLANETA Igarashi,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/619584_in_1000x1000.jpg,619584,Holofoil,Holofoil
svp-180,Dialga ex,180,Pokemon,220,Promo,PLANETA Igarashi,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/619587_in_1000x1000.jpg,619587,Holofoil,Holofoil
svp-181,N's Darmanitan,181,Pokemon,140,Promo,Takahashi Kaitou,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623233_in_1000x1000.jpg,623233,Holofoil,Stamp
svp-181,N's Darmanitan,181,Pokemon,140,Promo,Takahashi Kaitou,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/624484_in_1000x1000.jpg,624484,Holofoil,Staff Stamp
svp-182,Iono's Kilowattrel,182,Pokemon,120,Promo,DOM,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623234_in_1000x1000.jpg,623234,Holofoil,Stamp
svp-182,Iono's Kilowattrel,182,Pokemon,120,Promo,DOM,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/624482_in_1000x1000.jpg,624482,Holofoil,Staff Stamp
svp-183,Lillie's Ribombee,183,Pokemon,70,Promo,tono,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623235_in_1000x1000.jpg,623235,Holofoil,Stamp
svp-183,Lillie's Ribombee,183,Pokemon,70,Promo,tono,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623235_in_1000x1000.jpg,624472,Holofoil,Staff Stamp
svp-184,Hop's Snorlax,184,Pokemon,150,Promo,OKACHEKE,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623238_in_1000x1000.jpg,623238,Holofoil,Stamp
svp-184,Hop's Snorlax,184,Pokemon,150,Promo,OKACHEKE,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/623238_in_1000x1000.jpg,624485,Holofoil,Stamp
svp-185,Yanma,185,Pokemon,60,Promo,Dsuke,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/627706_in_1000x1000.jpg,627706,Holofoil,Cosmos Holofoil
svp-186,Scraggy,186,Pokemon,60,Promo,OKUBO,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/627724_in_1000x1000.jpg,627707,Holofoil,Cosmos Holofoil
svp-187,Yanmega,187,Pokemon,130,Promo,Dsuke,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/627724_in_1000x1000.jpg,627724,Holofoil,Cosmos Holofoil
svp-188,Scrafty,188,Pokemon,120,Promo,OKUBO,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/627725_in_1000x1000.jpg,627725,Holofoil,Cosmos Holofoil
svp-189,N's Zorua,189,Pokemon,70,Promo,Megumi Mezutani,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/625181_in_1000x1000.jpg,625181,Holofoil,Holofoil
svp-189,N's Zorua,189,Pokemon,70,Promo,Megumi Mezutani,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/625181_in_1000x1000.jpg,625182,Holofoil,Pokemon Center Stamp
svp-190,Pikachu,190,Pokemon,70,Promo,Atsushi Furusawa,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/562088_in_1000x1000.jpg,562088,Holofoil,Stamp
svp-191,Sprigatito,191,Pokemon,70,Promo,Saya Tsuruta,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/595036_in_1000x1000.jpg,595036,Holofoil,Holofoil
svp-192,Fuecoco,192,Pokemon,80,Promo,Ito Kyoko,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/595038_in_1000x1000.jpg,595038,Holofoil,Holofoil
svp-193,Hop's Zacian ex,193,Pokemon,230,Promo,aky CG Works,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/625631_in_1000x1000.jpg,625631,Holofoil,Holofoil
svp-194,Iono's Bellibolt ex,194,Pokemon,280,Promo,PLANETA Mochizuki,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/628320_in_1000x1000.jpg,628320,Holofoil,Holofoil
